                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2312,                 3.7402,                 4.2537,                0.00194,                0.30435,                0.00161,                0.00043,                 3.0863,                 4.1125,                 4.1556,                0.00024,                0.00024,                0.00024
                      2,                 3.2208,                 3.6045,                  4.187,                0.00194,                0.30435,                0.00161,                0.00043,                 3.0769,                 4.1158,                 4.1471,             0.00049752,             0.00049752,             0.00049752
                      3,                 3.1633,                 3.5682,                 4.1503,                0.00194,                0.30435,                0.00149,                0.00041,                 3.0653,                 4.1164,                  4.132,             0.00075248,             0.00075248,             0.00075248
                      4,                 3.2142,                 3.4467,                 4.0776,                0.00222,                0.34783,                0.00199,                0.00049,                  3.048,                 4.0674,                 4.1174,              0.0010049,              0.0010049,              0.0010049
                      5,                 3.2419,                 3.3626,                 4.0029,                0.00167,                0.26087,                0.00112,                0.00023,                 3.1079,                 4.0374,                 4.1862,              0.0012547,              0.0012547,              0.0012547
                      6,                 3.0878,                 3.3457,                 3.8868,                0.00167,                0.26087,                0.00129,                0.00032,                 3.1441,                 4.0256,                 4.2492,              0.0015019,              0.0015019,              0.0015019
                      7,                  3.151,                 3.3823,                 3.8337,                0.00167,                0.26087,                0.00125,                0.00033,                 3.1149,                   4.01,                 4.3603,              0.0017465,              0.0017465,              0.0017465
                      8,                 3.0603,                 3.2716,                 3.7435,                0.00139,                0.21739,                0.00099,                0.00034,                 3.2362,                 4.2389,                 4.5303,              0.0019307,              0.0019307,              0.0019307
                      9,                 3.0985,                 3.2214,                 3.6596,                0.00153,                0.21739,                0.00107,                0.00026,                 3.6766,                 4.4567,                 4.9508,              0.0019307,              0.0019307,              0.0019307
                     10,                 3.1865,                 3.2018,                 3.6211,                0.00144,                0.21739,                0.00112,                0.00033,                 3.6661,                 4.5154,                 5.0233,              0.0019208,              0.0019208,              0.0019208
                     11,                 3.0126,                 3.1566,                 3.5888,                0.63715,                0.08696,                0.09498,                0.02506,                  3.037,                 3.5338,                 4.1274,              0.0019109,              0.0019109,              0.0019109
                     12,                 3.0943,                  3.234,                 3.5533,                0.11855,                0.08696,                0.07119,                  0.015,                 2.8114,                 5.1869,                 3.8702,               0.001901,               0.001901,               0.001901
                     13,                 2.9641,                 3.2151,                 3.5039,                0.08477,                0.08696,                0.10663,                0.01951,                 2.8837,                 9.6137,                  3.763,              0.0018911,              0.0018911,              0.0018911
                     14,                 2.9857,                 3.1512,                 3.4599,                0.10509,                0.26087,                0.05334,                0.01365,                 3.0421,                  15.89,                 4.1009,              0.0018812,              0.0018812,              0.0018812
                     15,                 3.0229,                 3.2245,                 3.4783,                0.15564,                0.17391,                0.14781,                0.03878,                 2.7604,                 3.3436,                  3.476,              0.0018713,              0.0018713,              0.0018713
                     16,                 2.9436,                 3.2023,                 3.4013,                0.16362,                0.22992,                0.12727,                0.03005,                 2.5691,                 3.2835,                 3.4269,              0.0018614,              0.0018614,              0.0018614
                     17,                 2.8704,                  3.139,                 3.3312,                0.18876,                0.30435,                 0.0889,                0.02158,                 2.6431,                 18.835,                 3.4031,              0.0018515,              0.0018515,              0.0018515
                     18,                  3.013,                 3.1611,                 3.3655,                0.15078,                0.30435,                0.07467,                0.01758,                 2.7969,                 90.417,                 3.4708,              0.0018416,              0.0018416,              0.0018416
                     19,                 2.9259,                 3.0585,                 3.3029,                0.01066,                 0.3913,                0.00969,                0.00266,                 3.0004,                 85.316,                 3.5924,              0.0018317,              0.0018317,              0.0018317
                     20,                 2.8981,                 3.1501,                 3.3096,                0.02934,                0.26087,                0.02887,                0.00726,                 2.5692,                 5.9088,                 3.2559,              0.0018218,              0.0018218,              0.0018218
                     21,                 2.8575,                  3.039,                 3.2456,                0.07429,                0.04348,                0.05762,                0.02628,                 2.6675,                 12.549,                 3.2464,              0.0018119,              0.0018119,              0.0018119
                     22,                 2.8171,                 3.1328,                 3.3144,                0.17543,                0.17391,                0.07329,                0.02341,                 2.6799,                 6.5252,                 3.5088,               0.001802,               0.001802,               0.001802
