                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0802,                  3.847,                 4.2906,                0.00194,                0.30435,                0.00147,                0.00039,                 3.0885,                 4.1087,                 4.1575,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.0592,                   3.82,                 4.2557,                0.00194,                0.30435,                0.00151,                0.00044,                 3.0858,                   4.11,                  4.156,             0.00019822,             0.00019822,             0.00019822
                      3,                 2.9774,                 3.7473,                 4.2211,                0.00194,                0.30435,                 0.0014,                0.00037,                 3.0853,                 4.1098,                 4.1552,             0.00027268,             0.00027268,             0.00027268
                      4,                 3.0768,                 3.6991,                 4.1855,                0.00194,                0.30435,                 0.0018,                0.00045,                 3.0858,                 4.1104,                 4.1547,             0.00032338,             0.00032338,             0.00032338
                      5,                  3.044,                 3.6705,                 4.1582,                0.00194,                0.30435,                0.00167,                0.00046,                 3.0863,                 4.1106,                 4.1541,             0.00035032,             0.00035032,             0.00035032
                      6,                  3.076,                 3.5409,                  4.119,                0.00194,                0.30435,                0.00155,                0.00039,                 3.0877,                 4.1095,                 4.1533,              0.0003535,              0.0003535,              0.0003535
                      7,                 2.9581,                 3.5765,                 4.1033,                0.00167,                0.26087,                0.00116,                0.00034,                 3.0896,                 4.1021,                 4.1534,             0.00033292,             0.00033292,             0.00033292
                      8,                 2.9885,                  3.516,                 4.0789,                0.00167,                0.26087,                0.00116,                0.00033,                 3.0893,                 4.0928,                 4.1548,             0.00028858,             0.00028858,             0.00028858
                      9,                 2.9766,                 3.4744,                 4.0381,                0.00167,                0.26087,                0.00118,                0.00033,                 3.0881,                   4.08,                 4.1571,             0.00022048,             0.00022048,             0.00022048
                     10,                 2.9621,                 3.4567,                 4.0177,                0.00167,                0.26087,                0.00124,                0.00032,                  3.086,                 4.0792,                 4.1592,             0.00012862,             0.00012862,             0.00012862
